observation_date,NFCI
2000-01-07,-0.16729
2000-01-14,-0.18403
2000-01-21,-0.19672
2000-01-28,-0.20310
2000-02-04,-0.20248
2000-02-11,-0.19885
2000-02-18,-0.19225
2000-02-25,-0.18242
2000-03-03,-0.16941
2000-03-10,-0.15010
2000-03-17,-0.12584
2000-03-24,-0.10006
2000-03-31,-0.07613
2000-04-07,-0.05899
2000-04-14,-0.04555
2000-04-21,-0.03359
2000-04-28,-0.01891
2000-05-05,0.00069
2000-05-12,0.02181
2000-05-19,0.04131
2000-05-26,0.05537
2000-06-02,0.06073
2000-06-09,0.05752
2000-06-16,0.04849
2000-06-23,0.03420
2000-06-30,0.01559
2000-07-07,-0.00926
2000-07-14,-0.03937
2000-07-21,-0.07270
2000-07-28,-0.10650
2000-08-04,-0.13651
2000-08-11,-0.16020
2000-08-18,-0.17602
2000-08-25,-0.18616
2000-09-01,-0.19323
2000-09-08,-0.19706
2000-09-15,-0.19856
2000-09-22,-0.19584
2000-09-29,-0.18899
2000-10-06,-0.17955
2000-10-13,-0.16902
2000-10-20,-0.16232
2000-10-27,-0.15906
2000-11-03,-0.15561
2000-11-10,-0.14790
2000-11-17,-0.13193
2000-11-24,-0.10757
2000-12-01,-0.07916
2000-12-08,-0.05521
2000-12-15,-0.04461
2000-12-22,-0.05005
2000-12-29,-0.07534
2001-01-05,-0.11209
2001-01-12,-0.15390
2001-01-19,-0.19409
2001-01-26,-0.22726
2001-02-02,-0.25210
2001-02-09,-0.26873
2001-02-16,-0.27721
2001-02-23,-0.27712
2001-03-02,-0.27164
2001-03-09,-0.26215
2001-03-16,-0.25090
2001-03-23,-0.24370
2001-03-30,-0.24480
2001-04-06,-0.25392
2001-04-13,-0.27463
2001-04-20,-0.30179
2001-04-27,-0.33088
2001-05-04,-0.35963
2001-05-11,-0.38373
2001-05-18,-0.40111
2001-05-25,-0.41477
2001-06-01,-0.42532
2001-06-08,-0.43409
2001-06-15,-0.44206
2001-06-22,-0.44906
2001-06-29,-0.45571
2001-07-06,-0.46345
2001-07-13,-0.47297
2001-07-20,-0.48457
2001-07-27,-0.49849
2001-08-03,-0.51003
2001-08-10,-0.51154
2001-08-17,-0.49976
2001-08-24,-0.47210
2001-08-31,-0.43310
2001-09-07,-0.39002
2001-09-14,-0.35182
2001-09-21,-0.32774
2001-09-28,-0.32384
2001-10-05,-0.33160
2001-10-12,-0.34890
2001-10-19,-0.36927
2001-10-26,-0.38833
2001-11-02,-0.40058
2001-11-09,-0.40491
2001-11-16,-0.40090
2001-11-23,-0.38587
2001-11-30,-0.36455
2001-12-07,-0.34271
2001-12-14,-0.32885
2001-12-21,-0.32835
2001-12-28,-0.34505
2002-01-04,-0.37355
2002-01-11,-0.40897
2002-01-18,-0.44171
2002-01-25,-0.46514
2002-02-01,-0.47819
2002-02-08,-0.48335
2002-02-15,-0.48483
2002-02-22,-0.48482
2002-03-01,-0.48661
2002-03-08,-0.48854
2002-03-15,-0.49052
2002-03-22,-0.49355
2002-03-29,-0.49906
2002-04-05,-0.51001
2002-04-12,-0.52816
2002-04-19,-0.55191
2002-04-26,-0.57794
2002-05-03,-0.60301
2002-05-10,-0.62001
2002-05-17,-0.62853
2002-05-24,-0.62676
2002-05-31,-0.61744
2002-06-07,-0.60185
2002-06-14,-0.58262
2002-06-21,-0.56039
2002-06-28,-0.53543
2002-07-05,-0.50860
2002-07-12,-0.48053
2002-07-19,-0.45531
2002-07-26,-0.43457
2002-08-02,-0.42183
2002-08-09,-0.41374
2002-08-16,-0.41053
2002-08-23,-0.40579
2002-08-30,-0.39856
2002-09-06,-0.38676
2002-09-13,-0.37363
2002-09-20,-0.36137
2002-09-27,-0.35361
2002-10-04,-0.35184
2002-10-11,-0.35729
2002-10-18,-0.37049
2002-10-25,-0.38720
2002-11-01,-0.40730
2002-11-08,-0.42684
2002-11-15,-0.44320
2002-11-22,-0.45263
2002-11-29,-0.45538
2002-12-06,-0.45289
2002-12-13,-0.45166
2002-12-20,-0.45360
2002-12-27,-0.46246
2003-01-03,-0.47828
2003-01-10,-0.49737
2003-01-17,-0.51396
2003-01-24,-0.52468
2003-01-31,-0.53040
2003-02-07,-0.53162
2003-02-14,-0.53207
2003-02-21,-0.53378
2003-02-28,-0.53827
2003-03-07,-0.54525
2003-03-14,-0.55473
2003-03-21,-0.56806
2003-03-28,-0.58682
2003-04-04,-0.61092
2003-04-11,-0.63923
2003-04-18,-0.66799
2003-04-25,-0.69369
2003-05-02,-0.71264
2003-05-09,-0.72277
2003-05-16,-0.72574
2003-05-23,-0.72380
2003-05-30,-0.72036
2003-06-06,-0.71746
2003-06-13,-0.71685
2003-06-20,-0.71914
2003-06-27,-0.72265
2003-07-04,-0.72558
2003-07-11,-0.72602
2003-07-18,-0.72210
2003-07-25,-0.71377
2003-08-01,-0.69987
2003-08-08,-0.68531
2003-08-15,-0.67169
2003-08-22,-0.66162
2003-08-29,-0.65647
2003-09-05,-0.65644
2003-09-12,-0.66086
2003-09-19,-0.66811
2003-09-26,-0.67611
2003-10-03,-0.68394
2003-10-10,-0.69189
2003-10-17,-0.69934
2003-10-24,-0.70492
2003-10-31,-0.71002
2003-11-07,-0.71330
2003-11-14,-0.71420
2003-11-21,-0.71305
2003-11-28,-0.71071
2003-12-05,-0.70740
2003-12-12,-0.70694
2003-12-19,-0.71001
2003-12-26,-0.71716
2004-01-02,-0.72878
2004-01-09,-0.74341
2004-01-16,-0.75807
2004-01-23,-0.77160
2004-01-30,-0.78390
2004-02-06,-0.79389
2004-02-13,-0.80285
2004-02-20,-0.80981
2004-02-27,-0.81420
2004-03-05,-0.81571
2004-03-12,-0.81479
2004-03-19,-0.81082
2004-03-26,-0.80465
2004-04-02,-0.79647
2004-04-09,-0.78506
2004-04-16,-0.77035
2004-04-23,-0.75246
2004-04-30,-0.73348
2004-05-07,-0.71490
2004-05-14,-0.69979
2004-05-21,-0.68889
2004-05-28,-0.68230
2004-06-04,-0.67890
2004-06-11,-0.67710
2004-06-18,-0.67554
2004-06-25,-0.67514
2004-07-02,-0.67531
2004-07-09,-0.67642
2004-07-16,-0.67812
2004-07-23,-0.68072
2004-07-30,-0.68362
2004-08-06,-0.68587
2004-08-13,-0.68909
2004-08-20,-0.69221
2004-08-27,-0.69574
2004-09-03,-0.69831
2004-09-10,-0.70043
2004-09-17,-0.70143
2004-09-24,-0.70125
2004-10-01,-0.69982
2004-10-08,-0.69862
2004-10-15,-0.69845
2004-10-22,-0.70035
2004-10-29,-0.70311
2004-11-05,-0.70709
2004-11-12,-0.71184
2004-11-19,-0.71464
2004-11-26,-0.71566
2004-12-03,-0.71403
2004-12-10,-0.71074
2004-12-17,-0.70557
2004-12-24,-0.69950
2004-12-31,-0.69439
2005-01-07,-0.69148
2005-01-14,-0.69168
2005-01-21,-0.69475
2005-01-28,-0.70109
2005-02-04,-0.70925
2005-02-11,-0.71594
2005-02-18,-0.71858
2005-02-25,-0.71634
2005-03-04,-0.70812
2005-03-11,-0.69554
2005-03-18,-0.68001
2005-03-25,-0.66445
2005-04-01,-0.65047
2005-04-08,-0.63843
2005-04-15,-0.62821
2005-04-22,-0.61983
2005-04-29,-0.61323
2005-05-06,-0.60819
2005-05-13,-0.60502
2005-05-20,-0.60433
2005-05-27,-0.60585
2005-06-03,-0.60733
2005-06-10,-0.60899
2005-06-17,-0.60989
2005-06-24,-0.61107
2005-07-01,-0.61292
2005-07-08,-0.61521
2005-07-15,-0.61917
2005-07-22,-0.62209
2005-07-29,-0.62346
2005-08-05,-0.62187
2005-08-12,-0.61857
2005-08-19,-0.61286
2005-08-26,-0.60579
2005-09-02,-0.59748
2005-09-09,-0.58868
2005-09-16,-0.57923
2005-09-23,-0.57099
2005-09-30,-0.56551
2005-10-07,-0.56507
2005-10-14,-0.56975
2005-10-21,-0.57739
2005-10-28,-0.58594
2005-11-04,-0.59175
2005-11-11,-0.59367
2005-11-18,-0.59023
2005-11-25,-0.58390
2005-12-02,-0.57624
2005-12-09,-0.56963
2005-12-16,-0.56566
2005-12-23,-0.56619
2005-12-30,-0.57046
2006-01-06,-0.57976
2006-01-13,-0.59265
2006-01-20,-0.60635
2006-01-27,-0.62125
2006-02-03,-0.63355
2006-02-10,-0.64245
2006-02-17,-0.64782
2006-02-24,-0.64979
2006-03-03,-0.64841
2006-03-10,-0.64542
2006-03-17,-0.64174
2006-03-24,-0.63838
2006-03-31,-0.63502
2006-04-07,-0.63335
2006-04-14,-0.63242
2006-04-21,-0.63305
2006-04-28,-0.63347
2006-05-05,-0.63117
2006-05-12,-0.62656
2006-05-19,-0.61696
2006-05-26,-0.60382
2006-06-02,-0.58841
2006-06-09,-0.57275
2006-06-16,-0.55810
2006-06-23,-0.54683
2006-06-30,-0.54044
2006-07-07,-0.53938
2006-07-14,-0.54421
2006-07-21,-0.55454
2006-07-28,-0.56930
2006-08-04,-0.58576
2006-08-11,-0.60166
2006-08-18,-0.61416
2006-08-25,-0.62192
2006-09-01,-0.62429
2006-09-08,-0.62291
2006-09-15,-0.61985
2006-09-22,-0.61788
2006-09-29,-0.61856
2006-10-06,-0.62299
2006-10-13,-0.63101
2006-10-20,-0.64006
2006-10-27,-0.64879
2006-11-03,-0.65434
2006-11-10,-0.65631
2006-11-17,-0.65411
2006-11-24,-0.64910
2006-12-01,-0.64301
2006-12-08,-0.63878
2006-12-15,-0.63838
2006-12-22,-0.64270
2006-12-29,-0.65138
2007-01-05,-0.66389
2007-01-12,-0.67795
2007-01-19,-0.69167
2007-01-26,-0.70330
2007-02-02,-0.70946
2007-02-09,-0.70954
2007-02-16,-0.70184
2007-02-23,-0.68714
2007-03-02,-0.66722
2007-03-09,-0.64824
2007-03-16,-0.63321
2007-03-23,-0.62507
2007-03-30,-0.62239
2007-04-06,-0.62305
2007-04-13,-0.62214
2007-04-20,-0.61714
2007-04-27,-0.60656
2007-05-04,-0.59227
2007-05-11,-0.57966
2007-05-18,-0.56942
2007-05-25,-0.56105
2007-06-01,-0.55466
2007-06-08,-0.54938
2007-06-15,-0.54082
2007-06-22,-0.53157
2007-06-29,-0.52061
2007-07-06,-0.50378
2007-07-13,-0.47073
2007-07-20,-0.40968
2007-07-27,-0.30939
2007-08-03,-0.17239
2007-08-10,-0.01052
2007-08-17,0.15351
2007-08-24,0.28659
2007-08-31,0.35788
2007-09-07,0.37038
2007-09-14,0.32696
2007-09-21,0.24406
2007-09-28,0.15591
2007-10-05,0.08022
2007-10-12,0.03151
2007-10-19,0.02027
2007-10-26,0.04887
2007-11-02,0.11846
2007-11-09,0.22897
2007-11-16,0.36418
2007-11-23,0.50779
2007-11-30,0.62963
2007-12-07,0.70652
2007-12-14,0.72621
2007-12-21,0.69222
2007-12-28,0.62291
2008-01-04,0.54990
2008-01-11,0.48947
2008-01-18,0.45741
2008-01-25,0.45765
2008-02-01,0.47680
2008-02-08,0.52473
2008-02-15,0.59808
2008-02-22,0.69537
2008-02-29,0.80294
2008-03-07,0.90591
2008-03-14,0.97379
2008-03-21,0.99310
2008-03-28,0.95654
2008-04-04,0.88343
2008-04-11,0.79205
2008-04-18,0.70282
2008-04-25,0.62123
2008-05-02,0.54920
2008-05-09,0.49152
2008-05-16,0.44608
2008-05-23,0.42418
2008-05-30,0.43628
2008-06-06,0.48721
2008-06-13,0.55876
2008-06-20,0.63758
2008-06-27,0.70064
2008-07-04,0.72978
2008-07-11,0.72284
2008-07-18,0.69949
2008-07-25,0.66547
2008-08-01,0.64184
2008-08-08,0.63587
2008-08-15,0.64587
2008-08-22,0.69446
2008-08-29,0.79431
2008-09-05,0.96627
2008-09-12,1.22000
2008-09-19,1.56169
2008-09-26,1.90802
2008-10-03,2.22558
2008-10-10,2.45997
2008-10-17,2.58801
2008-10-24,2.62216
2008-10-31,2.63848
2008-11-07,2.65917
2008-11-14,2.71479
2008-11-21,2.80357
2008-11-28,2.85248
2008-12-05,2.84497
2008-12-12,2.76004
2008-12-19,2.60312
2008-12-26,2.41036
2009-01-02,2.24610
2009-01-09,2.09710
2009-01-16,1.98622
2009-01-23,1.90384
2009-01-30,1.84308
2009-02-06,1.80372
2009-02-13,1.80126
2009-02-20,1.82871
2009-02-27,1.86792
2009-03-06,1.90206
2009-03-13,1.88940
2009-03-20,1.82789
2009-03-27,1.72382
2009-04-03,1.59762
2009-04-10,1.46300
2009-04-17,1.34208
2009-04-24,1.23066
2009-05-01,1.12086
2009-05-08,1.01188
2009-05-15,0.91367
2009-05-22,0.82878
2009-05-29,0.77440
2009-06-05,0.74446
2009-06-12,0.73248
2009-06-19,0.72610
2009-06-26,0.70154
2009-07-03,0.65342
2009-07-10,0.58403
2009-07-17,0.50134
2009-07-24,0.41734
2009-07-31,0.34523
2009-08-07,0.28962
2009-08-14,0.24760
2009-08-21,0.21271
2009-08-28,0.17900
2009-09-04,0.14544
2009-09-11,0.11056
2009-09-18,0.07800
2009-09-25,0.05068
2009-10-02,0.03405
2009-10-09,0.02140
2009-10-16,0.01155
2009-10-23,0.00207
2009-10-30,-0.00702
2009-11-06,-0.02031
2009-11-13,-0.03631
2009-11-20,-0.05228
2009-11-27,-0.06837
2009-12-04,-0.08627
2009-12-11,-0.10949
2009-12-18,-0.13683
2009-12-25,-0.16640
2010-01-01,-0.19265
2010-01-08,-0.21401
2010-01-15,-0.22187
2010-01-22,-0.21645
2010-01-29,-0.20798
2010-02-05,-0.20363
2010-02-12,-0.21211
2010-02-19,-0.23827
2010-02-26,-0.27712
2010-03-05,-0.32362
2010-03-12,-0.37030
2010-03-19,-0.41201
2010-03-26,-0.44867
2010-04-02,-0.47638
2010-04-09,-0.49141
2010-04-16,-0.48454
2010-04-23,-0.45040
2010-04-30,-0.38662
2010-05-07,-0.29952
2010-05-14,-0.21100
2010-05-21,-0.13028
2010-05-28,-0.07552
2010-06-04,-0.05046
2010-06-11,-0.04904
2010-06-18,-0.06905
2010-06-25,-0.09840
2010-07-02,-0.13344
2010-07-09,-0.17642
2010-07-16,-0.22066
2010-07-23,-0.26024
2010-07-30,-0.28977
2010-08-06,-0.30538
2010-08-13,-0.30599
2010-08-20,-0.29931
2010-08-27,-0.29458
2010-09-03,-0.29824
2010-09-10,-0.31362
2010-09-17,-0.33665
2010-09-24,-0.36198
2010-10-01,-0.38739
2010-10-08,-0.41089
2010-10-15,-0.43132
2010-10-22,-0.44868
2010-10-29,-0.46220
2010-11-05,-0.46920
2010-11-12,-0.46722
2010-11-19,-0.46156
2010-11-26,-0.45546
2010-12-03,-0.45486
2010-12-10,-0.46484
2010-12-17,-0.48168
2010-12-24,-0.50376
2010-12-31,-0.52581
2011-01-07,-0.54587
2011-01-14,-0.56336
2011-01-21,-0.57962
2011-01-28,-0.59372
2011-02-04,-0.60340
2011-02-11,-0.60581
2011-02-18,-0.59757
2011-02-25,-0.57918
2011-03-04,-0.55914
2011-03-11,-0.54254
2011-03-18,-0.53507
2011-03-25,-0.54151
2011-04-01,-0.55587
2011-04-08,-0.57319
2011-04-15,-0.58641
2011-04-22,-0.59270
2011-04-29,-0.59305
2011-05-06,-0.58937
2011-05-13,-0.58186
2011-05-20,-0.57208
2011-05-27,-0.55752
2011-06-03,-0.53861
2011-06-10,-0.51700
2011-06-17,-0.49991
2011-06-24,-0.49056
2011-07-01,-0.48897
2011-07-08,-0.48594
2011-07-15,-0.46946
2011-07-22,-0.43175
2011-07-29,-0.36984
2011-08-05,-0.28827
2011-08-12,-0.20152
2011-08-19,-0.13000
2011-08-26,-0.07110
2011-09-02,-0.03111
2011-09-09,0.00043
2011-09-16,0.02311
2011-09-23,0.03972
2011-09-30,0.04315
2011-10-07,0.03133
2011-10-14,0.00358
2011-10-21,-0.02372
2011-10-28,-0.04295
2011-11-04,-0.04219
2011-11-11,-0.02657
2011-11-18,-0.00399
2011-11-25,0.01601
2011-12-02,0.01840
2011-12-09,0.00794
2011-12-16,-0.01217
2011-12-23,-0.04085
2011-12-30,-0.07724
2012-01-06,-0.12191
2012-01-13,-0.17497
